trainingfitness
algorithm, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
ABC, 1.000e+00, 1.000e+00, 1.295e+00, 1.848e+01, 1.000e+00, 1.000e+00, 4.253e+02, 1.030e+00, 2.897e+00, 9.615e-01, 1.415e+00, 1.207e+00, 1.404e+00, 1.000e+00, 9.970e-01,
DE, 1.000e+00, 1.536e+00, 1.163e+00, 2.923e+00, 1.000e+00, 1.000e+00, 2.584e-01, 1.526e+00, 2.294e+00, 8.972e-01, 1.210e+00, 1.327e+00, 9.397e-01, 1.536e+00, 9.960e-01,
PSO, 1.000e+00, 1.839e+00, 1.169e+00, 1.150e+00, 1.000e+00, 1.000e+00, 1.000e+00, 8.356e-01, 2.947e+00, 8.971e-01, 1.226e+00, 1.247e+00, 1.096e+00, 1.000e+00, 1.172e+00,
fullfitness
algorithm, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
ABC, 1.000e+00, 1.000e+00, 1.122e+00, 1.865e+01, 1.000e+00, 1.000e+00, 3.831e+02, 1.034e+00, 2.691e+00, 1.016e+00, 8.528e-01, 1.051e+00, 6.169e-01, 1.000e+00, 9.938e-01,
DE, 1.000e+00, 1.597e+00, 1.039e+00, 2.757e+00, 1.565e+01, 1.000e+00, 2.233e-01, 1.674e+00, 2.004e+00, 9.617e-01, 9.337e-01, 1.103e+00, 9.584e-01, 1.597e+00, 9.970e-01,
PSO, 1.000e+00, 3.098e+00, 9.915e-01, 8.538e-01, 1.000e+00, 1.000e+00, 1.000e+00, 7.145e-01, 2.586e+00, 9.617e-01, 1.274e+00, 1.067e+00, 1.055e+00, 1.000e+00, 1.069e+00,
meantrainingfitness
algorithm, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
ABC, 2.064e+01, 3.632e+00, 1.536e+00, 8.774e-01, 1.788e+00, 1.096e+00, 5.726e+00, 1.173e+00, 2.348e+00, 9.209e-01, 1.163e+00, 1.280e+00, 1.151e+00, 3.632e+00, 9.300e-01,
DE, 1.117e+01, 5.624e+00, 1.277e+00, 1.696e+00, 2.468e+00, 8.307e-01, 3.333e-01, 9.953e-01, 2.249e+00, 1.038e+00, 1.067e+00, 1.305e+00, 9.416e-01, 5.624e+00, 9.302e-01,
PSO, 7.494e+03, 6.977e+00, 1.225e+00, 1.091e+00, 3.335e+00, 1.461e+00, 1.154e+00, 1.118e+00, 1.300e+00, 8.794e-01, 1.212e+00, 1.559e+00, 1.041e+00, 3.632e+00, 9.242e-01,
meanfullfitness
algorithm, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
ABC, 2.048e+01, 2.672e+00, 1.487e+00, 9.516e-01, 1.709e+00, 1.021e+00, 6.217e+00, 1.093e+00, 2.589e+00, 9.346e-01, 8.686e-01, 1.126e+00, 9.308e-01, 2.672e+00, 9.816e-01,
DE, 1.213e+01, 3.687e+00, 1.244e+00, 1.997e+00, 2.324e+00, 8.352e-01, 3.572e-01, 9.731e-01, 2.288e+00, 1.009e+00, 9.496e-01, 1.616e+00, 9.641e-01, 3.687e+00, 9.668e-01,
PSO, 8.382e+03, 8.286e+00, 1.204e+00, 1.071e+00, 3.111e+00, 1.362e+00, 1.219e+00, 9.817e-01, 1.411e+00, 8.939e-01, 1.059e+00, 1.698e+00, 1.018e+00, 2.672e+00, 9.840e-01,
