trainingfitness
algorithm, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
ABC, 1.000e+00, 1.074e+00, 2.371e+00, 1.000e+00, 1.000e+00, 1.000e+00, 2.050e+06, 3.277e-01, 1.230e+00, 6.779e-01, 1.146e+00, 1.321e+00, 1.690e+00, 1.074e+00, 4.837e-01,
DE, 1.000e+00, 1.176e+00, 4.459e-01, 1.000e+00, 1.000e+00, 1.000e+00, 9.987e+01, 1.790e+01, 1.853e+00, 8.129e-01, 6.428e-01, 1.553e+00, 1.266e+00, 1.176e+00, 1.095e+00,
PSO, 1.000e+00, 7.591e+00, 7.112e+00, 0.000e+00, 1.000e+00, 1.000e+00, 3.117e+02, 2.904e+00, 1.159e+00, 1.506e+00, 8.442e-01, 1.396e+00, 6.302e+00, 8.146e-01, 7.435e-01,
fullfitness
algorithm, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
ABC, 1.000e+00, 1.103e+00, 3.145e+00, 1.000e+00, 1.565e+01, 1.000e+00, 1.846e+06, 3.220e-01, 1.243e+00, 7.106e-01, 4.082e-01, 1.080e+00, 1.613e+00, 1.103e+00, 7.483e-01,
DE, 1.000e+00, 1.087e+00, 4.240e-01, 1.000e+00, 1.565e+01, 1.000e+00, 9.756e+01, 2.158e+01, 1.629e+00, 8.213e-01, 1.079e+00, 1.040e+00, 1.202e+00, 1.087e+00, 1.454e+00,
PSO, 1.000e+00, 5.426e+00, 9.234e+00, 0.000e+00, 1.000e+00, 1.000e+00, 3.070e+02, 1.634e+00, 9.216e-01, 2.786e-01, 4.071e-01, 1.131e+00, 2.563e+00, 7.444e-01, 1.288e+00,
meantrainingfitness
algorithm, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
ABC, 1.335e+01, 1.113e+00, 4.824e+00, 5.543e-01, 3.479e+02, 4.395e+02, 7.059e-02, 4.477e-01, 1.215e+00, 9.073e-01, 2.214e+00, 9.169e-01, 1.564e+00, 1.113e+00, 4.064e-01,
DE, 3.620e+01, 1.299e+00, 1.115e+00, 1.128e+00, 1.204e-01, 5.385e+08, 3.202e+01, 1.338e+00, 1.835e+00, 1.154e+00, 1.268e+00, 1.626e+00, 1.246e+00, 1.299e+00, 7.247e-01,
PSO, 5.046e+02, 8.017e+00, 2.302e+00, 4.220e-01, 1.665e+01, 2.237e+01, 2.144e-01, 6.974e-01, 1.240e+00, 9.647e-01, 1.408e+00, 1.347e+00, 5.933e+00, 7.152e-01, 8.523e-01,
meanfullfitness
algorithm, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
ABC, 1.382e+01, 2.306e-01, 5.950e+00, 5.551e-01, 3.264e+02, 5.091e+02, 7.308e-02, 4.463e-01, 1.188e+00, 9.214e-01, 4.665e-01, 7.197e-01, 1.463e+00, 2.306e-01, 8.096e-01,
DE, 3.244e+01, 1.315e+00, 1.068e+00, 1.228e+00, 1.153e-01, 5.392e+08, 3.234e+01, 1.348e+00, 1.685e+00, 1.153e+00, 1.193e+00, 1.441e+00, 1.210e+00, 1.315e+00, 1.199e+00,
PSO, 4.920e+02, 6.794e+00, 2.531e+00, 4.117e-01, 1.721e+01, 9.994e+00, 2.146e-01, 6.486e-01, 1.113e+00, 7.060e-01, 5.830e-01, 1.324e+00, 2.613e+00, 8.126e-01, 1.094e+00,
